species,gene_name,uniprot_id,fasta_accession,notes,,sequence identity
dog,,A0A0U2PLQ3,A0A0U2PLQ3_CANLF|protein,Files in cyp/dog_0,,
dog,,A0A8C0Q685,A0A8C0Q685_CANLF|protein,Files in cyp/dog_49,,
dog,,A0A8C0RCS1,A0A8C0RCS1_CANLF|protein,Files in cyp/dog_50,,
dog,,A0A8C0RT17,A0A8C0RT17_CANLF|protein,Files in cyp/dog_51,,
dog,,A0A8C0TGJ5,A0A8C0TGJ5_CANLF|protein,Files in cyp/dog_52,,
dog,CYP26A1,A0A8C0Z3N5,A0A8C0Z3N5_CANLF|protein,Files in cyp/dog_53,,
dog,,A0A8C0Z3Q8,A0A8C0Z3Q8_CANLF|protein,Files in cyp/dog_54,,
dog,LOC484492,A0A8I3MK53,A0A8I3MK53_CANLF|protein,Files in cyp/dog_55,,
dog,CYP2S1,A0A8I3MMU9,A0A8I3MMU9_CANLF|protein,Files in cyp/dog_56,,
dog,LOC119875773,A0A8I3MQC6,A0A8I3MQC6_CANLF|protein,Files in cyp/dog_57,,
dog,LOC610105,A0A8I3N610,A0A8I3N610_CANLF|protein,Files in cyp/dog_58,,
dog,CYP2W1,A0A8I3N9B7,A0A8I3N9B7_CANLF|protein,Files in cyp/dog_59,,
dog,CYP27B1,A0A8I3NU23,A0A8I3NU23_CANLF|protein,Files in cyp/dog_60,,
dog,CYP26A1,A0A8I3P076,A0A8I3P076_CANLF|protein,Files in cyp/dog_61,,
dog,LOC119876349,A0A8I3PU35,A0A8I3PU35_CANLF|protein,Files in cyp/dog_62,,
dog,LOC100688697,A0A8I3PUA0,A0A8I3PUA0_CANLF|protein,Files in cyp/dog_63,,
dog,LOC119868939,A0A8I3PV37,A0A8I3PV37_CANLF|protein,Files in cyp/dog_64,,
dog,CYP2J2,A0A8I3RT03,A0A8I3RT03_CANLF|protein,Files in cyp/dog_65,,
dog,CYP27B1,A0A8P0N3M3,A0A8P0N3M3_CANLF|protein,Files in cyp/dog_66,,
dog,CYP2W1,A0A8P0NDQ1,A0A8P0NDQ1_CANLF|protein,Files in cyp/dog_67,,
dog,CYP2W1,A0A8P0P298,A0A8P0P298_CANLF|protein,Files in cyp/dog_68,,
dog,LOC610105,A0A8P0S7Y7,A0A8P0S7Y7_CANLF|protein,Files in cyp/dog_69,,
dog,CYP2U1,A0A8P0SFX2,A0A8P0SFX2_CANLF|protein,Files in cyp/dog_70,,
dog,CYP2C41,O62671,CP241_CANLF|protein,Files in cyp/dog_71,,
dog,CYP2A25,Q307K7,Q307K7_CANLF|protein,Files in cyp/dog_72,,
dog,CYP2A13,Q307K8,Q307K8_CANLF|protein,Files in cyp/dog_73,,
dog,,A0A8C0M1I8,A0A8C0M1I8_CANLF|protein,Files in cyp/dog_74,,
dog,,A0A8C0M222,A0A8C0M222_CANLF|protein,Files in cyp/dog_75,,
dog,,A0A8C0M231,A0A8C0M231_CANLF|protein,Files in cyp/dog_76,,
dog,CYP2F1,A0A8C0M3A7,A0A8C0M3A7_CANLF|protein,Files in cyp/dog_77,,
dog,CYP2B6,A0A8C0M3L7,A0A8C0M3L7_CANLF|protein,Files in cyp/dog_78,,
dog,,A0A8C0M3P7,A0A8C0M3P7_CANLF|protein,Files in cyp/dog_79,,
dog,,A0A8C0M530,A0A8C0M530_CANLF|protein,Files in cyp/dog_80,,
dog,,A0A8C0M7Y9,A0A8C0M7Y9_CANLF|protein,Files in cyp/dog_81,,
dog,,A0A8C0M9N3,A0A8C0M9N3_CANLF|protein,Files in cyp/dog_82,,
dog,CYP1B1,A0A8C0MBX3,A0A8C0MBX3_CANLF|protein,Files in cyp/dog_83,,
dog,,A0A8C0MFC2,A0A8C0MFC2_CANLF|protein,Files in cyp/dog_84,,
dog,,A0A8C0MII1,A0A8C0MII1_CANLF|protein,Files in cyp/dog_85,,
dog,CYP2W1,A0A8C0ML71,A0A8C0ML71_CANLF|protein,Files in cyp/dog_86,,
dog,CYP27A1,A0A8C0MQC5,A0A8C0MQC5_CANLF|protein,Files in cyp/dog_87,,
dog,CYP2C18,A0A8C0MVA0,A0A8C0MVA0_CANLF|protein,Files in cyp/dog_88,,
dog,CYP27A1,A0A8C0MWS7,A0A8C0MWS7_CANLF|protein,Files in cyp/dog_89,,
dog,CYP26C1,A0A8C0NB19,A0A8C0NB19_CANLF|protein,Files in cyp/dog_90,,
dog,,A0A8C0NJD5,A0A8C0NJD5_CANLF|protein,Files in cyp/dog_91,,
dog,LOC119868939,A0A8C0NKJ9,A0A8C0NKJ9_CANLF|protein,Files in cyp/dog_92,,
dog,LOC119868939,A0A8C0NNX8,A0A8C0NNX8_CANLF|protein,Files in cyp/dog_93,,
dog,CYP8B1,A0A8C0NR21,A0A8C0NR21_CANLF|protein,Files in cyp/dog_94,,
dog,,A0A8C0NRB3,A0A8C0NRB3_CANLF|protein,Files in cyp/dog_95,,
dog,LOC119868939,A0A8C0NVU4,A0A8C0NVU4_CANLF|protein,Files in cyp/dog_96,,
dog,LOC119879494,A0A8C0NW62,A0A8C0NW62_CANLF|protein,Files in cyp/dog_97,,
dog,LOC119879494,A0A8C0NWK3,A0A8C0NWK3_CANLF|protein,Files in cyp/dog_98,,
dog,CYP4A11,A0A8C0NY59,A0A8C0NY59_CANLF|protein,Files in cyp/dog_99,,
dog,,A0A8C0NZA5,A0A8C0NZA5_CANLF|protein,Files in cyp/dog_100,,
dog,CYP4A11,A0A8C0NZE4,A0A8C0NZE4_CANLF|protein,Files in cyp/dog_101,,
dog,,A0A8C0P1I3,A0A8C0P1I3_CANLF|protein,Files in cyp/dog_102,,
dog,CYP4A11,A0A8C0P398,A0A8C0P398_CANLF|protein,Files in cyp/dog_103,,
dog,,A0A8C0P3X3,A0A8C0P3X3_CANLF|protein,Files in cyp/dog_104,,
dog,CYP4A11,A0A8C0P4A1,A0A8C0P4A1_CANLF|protein,Files in cyp/dog_105,,
dog,CYP4A11,A0A8C0P542,A0A8C0P542_CANLF|protein,Files in cyp/dog_106,,
dog,,A0A8C0P561,A0A8C0P561_CANLF|protein,Files in cyp/dog_107,,
dog,CYP4A11,A0A8C0P5X1,A0A8C0P5X1_CANLF|protein,Files in cyp/dog_108,,
dog,,A0A8C0P6C1,A0A8C0P6C1_CANLF|protein,Files in cyp/dog_109,,
dog,,A0A8C0P6M1,A0A8C0P6M1_CANLF|protein,Files in cyp/dog_110,,
dog,CYP4F22,A0A8C0P8N5,A0A8C0P8N5_CANLF|protein,Files in cyp/dog_111,,
dog,,A0A8C0PBT6,A0A8C0PBT6_CANLF|protein,Files in cyp/dog_112,,
dog,,A0A8C0PD20,A0A8C0PD20_CANLF|protein,Files in cyp/dog_113,,
dog,,A0A8C0PD67,A0A8C0PD67_CANLF|protein,Files in cyp/dog_114,,
dog,CYP26B1,A0A8C0PD95,A0A8C0PD95_CANLF|protein,Files in cyp/dog_115,,
dog,CYP4A11,A0A8C0PE33,A0A8C0PE33_CANLF|protein,Files in cyp/dog_116,,
dog,,A0A8C0PII2,A0A8C0PII2_CANLF|protein,Files in cyp/dog_117,,
dog,LOC100688697,A0A8C0PJ27,A0A8C0PJ27_CANLF|protein,Files in cyp/dog_118,,
dog,,A0A8C0PM12,A0A8C0PM12_CANLF|protein,Files in cyp/dog_119,,
dog,CYP24A1,A0A8C0PMU8,A0A8C0PMU8_CANLF|protein,Files in cyp/dog_120,,
dog,,A0A8C0Q1R7,A0A8C0Q1R7_CANLF|protein,Files in cyp/dog_121,,
dog,,A0A8C0QFY0,A0A8C0QFY0_CANLF|protein,Files in cyp/dog_122,,
dog,,A0A8C0QM45,A0A8C0QM45_CANLF|protein,Files in cyp/dog_123,,
dog,,A0A8C0RAC4,A0A8C0RAC4_CANLF|protein,Files in cyp/dog_124,,
dog,,A0A8C0REA2,A0A8C0REA2_CANLF|protein,Files in cyp/dog_125,,
dog,,A0A8C0RRM4,A0A8C0RRM4_CANLF|protein,Files in cyp/dog_126,,
dog,CYP2D15,A0A8C0RSU3,A0A8C0RSU3_CANLF|protein,Files in cyp/dog_127,,
dog,,A0A8C0S188,A0A8C0S188_CANLF|protein,Files in cyp/dog_128,,
dog,,A0A8C0S2T7,A0A8C0S2T7_CANLF|protein,Files in cyp/dog_129,,
dog,CYP2B6,A0A8C0S366,A0A8C0S366_CANLF|protein,Files in cyp/dog_130,,
dog,LOC484492,A0A8C0S3F2,A0A8C0S3F2_CANLF|protein,Files in cyp/dog_131,,
dog,,A0A8C0S4G2,A0A8C0S4G2_CANLF|protein,Files in cyp/dog_132,,
dog,LOC476453,A0A8C0S4V6,A0A8C0S4V6_CANLF|protein,Files in cyp/dog_133,,
dog,LOC119879494,A0A8C0S4W8,A0A8C0S4W8_CANLF|protein,Files in cyp/dog_134,,
dog,LOC119879494,A0A8C0S5B4,A0A8C0S5B4_CANLF|protein,Files in cyp/dog_135,,
dog,CYP39A1,A0A8C0SF29,A0A8C0SF29_CANLF|protein,Files in cyp/dog_136,,
dog,CYP39A1,A0A8C0SF75,A0A8C0SF75_CANLF|protein,Files in cyp/dog_137,,
dog,CYP24A1,A0A8C0SJU9,A0A8C0SJU9_CANLF|protein,Files in cyp/dog_138,,
dog,CYP24A1,A0A8C0SJY1,A0A8C0SJY1_CANLF|protein,Files in cyp/dog_139,,
dog,CYP4X1,A0A8C0SLF7,A0A8C0SLF7_CANLF|protein,Files in cyp/dog_140,,
dog,CYP4X1,A0A8C0SLR2,A0A8C0SLR2_CANLF|protein,Files in cyp/dog_141,,
dog,CYP4A11,A0A8C0SN59,A0A8C0SN59_CANLF|protein,Files in cyp/dog_142,,
dog,CYP4A11,A0A8C0SNY1,A0A8C0SNY1_CANLF|protein,Files in cyp/dog_143,,
dog,CYP2D15,A0A8C0SP41,A0A8C0SP41_CANLF|protein,Files in cyp/dog_144,,
dog,CYP4B1,A0A8C0SPC6,A0A8C0SPC6_CANLF|protein,Files in cyp/dog_145,,
dog,CYP4A11,A0A8C0SQ06,A0A8C0SQ06_CANLF|protein,Files in cyp/dog_146,,
dog,CYP4A11,A0A8C0SQF1,A0A8C0SQF1_CANLF|protein,Files in cyp/dog_147,,
dog,CYP4A11,A0A8C0SRB5,A0A8C0SRB5_CANLF|protein,Files in cyp/dog_148,,
dog,CYP2J2,A0A8C0SVW2,A0A8C0SVW2_CANLF|protein,Files in cyp/dog_149,,
dog,LOC119868939,A0A8C0SYH1,A0A8C0SYH1_CANLF|protein,Files in cyp/dog_150,,
dog,LOC119868939,A0A8C0SZA0,A0A8C0SZA0_CANLF|protein,Files in cyp/dog_151,,
dog,LOC119868939,A0A8C0SZI4,A0A8C0SZI4_CANLF|protein,Files in cyp/dog_152,,
dog,LOC119868939,A0A8C0T0L6,A0A8C0T0L6_CANLF|protein,Files in cyp/dog_153,,
dog,LOC119868939,A0A8C0T0Z6,A0A8C0T0Z6_CANLF|protein,Files in cyp/dog_154,,
dog,LOC119868939,A0A8C0T116,A0A8C0T116_CANLF|protein,Files in cyp/dog_155,,
dog,LOC119868939,A0A8C0T2Z2,A0A8C0T2Z2_CANLF|protein,Files in cyp/dog_156,,
dog,,A0A8C0T6V5,A0A8C0T6V5_CANLF|protein,Files in cyp/dog_157,,
dog,LOC119863926,A0A8C0T7Q8,A0A8C0T7Q8_CANLF|protein,Files in cyp/dog_158,,
dog,LOC119863926,A0A8C0T8J0,A0A8C0T8J0_CANLF|protein,Files in cyp/dog_159,,
dog,LOC119863926,A0A8C0TBE2,A0A8C0TBE2_CANLF|protein,Files in cyp/dog_160,,
dog,CYP27A1,A0A8C0TQF8,A0A8C0TQF8_CANLF|protein,Files in cyp/dog_161,,
dog,CYP1B1,A0A8C0TQT8,A0A8C0TQT8_CANLF|protein,Files in cyp/dog_162,,
dog,,A0A8C0TS18,A0A8C0TS18_CANLF|protein,Files in cyp/dog_163,,
dog,,A0A8C0YSZ5,A0A8C0YSZ5_CANLF|protein,Files in cyp/dog_164,,
dog,LOC119879494,A0A8C0YU43,A0A8C0YU43_CANLF|protein,Files in cyp/dog_165,,
dog,CYP4A11,A0A8C0YYU2,A0A8C0YYU2_CANLF|protein,Files in cyp/dog_166,,
dog,CYP4B1,A0A8C0YZ16,A0A8C0YZ16_CANLF|protein,Files in cyp/dog_167,,
dog,LOC119868939,A0A8C0Z174,A0A8C0Z174_CANLF|protein,Files in cyp/dog_168,,
dog,CYP27A1,A0A8C0Z5Q1,A0A8C0Z5Q1_CANLF|protein,Files in cyp/dog_169,,
dog,LOC119875773,A0A8I3MHC9,A0A8I3MHC9_CANLF|protein,Files in cyp/dog_170,,
dog,CYP2S1,A0A8I3MHH7,A0A8I3MHH7_CANLF|protein,Files in cyp/dog_171,,
dog,LOC119875773,A0A8I3MJ92,A0A8I3MJ92_CANLF|protein,Files in cyp/dog_172,,
dog,CYP2S1,A0A8I3MLR0,A0A8I3MLR0_CANLF|protein,Files in cyp/dog_173,,
dog,CYP2A13,A0A8I3MMS0,A0A8I3MMS0_CANLF|protein,Files in cyp/dog_174,,
dog,LOC119875773,A0A8I3MN11,A0A8I3MN11_CANLF|protein,Files in cyp/dog_175,,
dog,LOC119875773,A0A8I3MP76,A0A8I3MP76_CANLF|protein,Files in cyp/dog_176,,
dog,CYP2B6,A0A8I3MQJ9,A0A8I3MQJ9_CANLF|protein,Files in cyp/dog_177,,
dog,LOC119875773,A0A8I3MUY1,A0A8I3MUY1_CANLF|protein,Files in cyp/dog_178,,
dog,CYP2B6,A0A8I3N358,A0A8I3N358_CANLF|protein,Files in cyp/dog_179,,
dog,CYP4A37,A0A8I3NTF6,A0A8I3NTF6_CANLF|protein,Files in cyp/dog_180,,
dog,CYP4A37,A0A8I3NTH1,A0A8I3NTH1_CANLF|protein,Files in cyp/dog_181,,
dog,CYP4B1,A0A8I3NUL1,A0A8I3NUL1_CANLF|protein,Files in cyp/dog_182,,
dog,CYP4F22,A0A8I3NZI5,A0A8I3NZI5_CANLF|protein,Files in cyp/dog_183,,
dog,CYP4A37,A0A8I3P236,A0A8I3P236_CANLF|protein,Files in cyp/dog_184,,
dog,CYP4A37,A0A8I3P2Q3,A0A8I3P2Q3_CANLF|protein,Files in cyp/dog_185,,
dog,CYP4A37,A0A8I3P3X6,A0A8I3P3X6_CANLF|protein,Files in cyp/dog_186,,
dog,CYP4A37,A0A8I3P4E2,A0A8I3P4E2_CANLF|protein,Files in cyp/dog_187,,
dog,CYP4A37,A0A8I3P4R7,A0A8I3P4R7_CANLF|protein,Files in cyp/dog_188,,
dog,CYP4X1,A0A8I3P625,A0A8I3P625_CANLF|protein,Files in cyp/dog_189,,
dog,CYP4X1,A0A8I3P954,A0A8I3P954_CANLF|protein,Files in cyp/dog_190,,
dog,CYP4A37,A0A8I3PAL5,A0A8I3PAL5_CANLF|protein,Files in cyp/dog_191,,
dog,CYP26C1,A0A8I3PAY2,A0A8I3PAY2_CANLF|protein,Files in cyp/dog_192,,
dog,CYP26B1,A0A8I3PB12,A0A8I3PB12_CANLF|protein,Files in cyp/dog_193,,
dog,CYP27C1,A0A8I3PCE9,A0A8I3PCE9_CANLF|protein,Files in cyp/dog_194,,
dog,LOC119865014,A0A8I3PCS6,A0A8I3PCS6_CANLF|protein,Files in cyp/dog_195,,
dog,LOC119865014,A0A8I3PEM6,A0A8I3PEM6_CANLF|protein,Files in cyp/dog_196,,
dog,CYP8B1,A0A8I3PFY5,A0A8I3PFY5_CANLF|protein,Files in cyp/dog_197,,
dog,CYP2C18,A0A8I3PGZ7,A0A8I3PGZ7_CANLF|protein,Files in cyp/dog_198,,
dog,CYP26B1,A0A8I3PHQ9,A0A8I3PHQ9_CANLF|protein,Files in cyp/dog_199,,
dog,CYP27A1,A0A8I3PW50,A0A8I3PW50_CANLF|protein,Files in cyp/dog_200,,
dog,CYP24A1,A0A8I3PYQ1,A0A8I3PYQ1_CANLF|protein,Files in cyp/dog_201,,
dog,CYP24A1,A0A8I3QR35,A0A8I3QR35_CANLF|protein,Files in cyp/dog_202,,
dog,CYP2A13,A0A8I3RSH6,A0A8I3RSH6_CANLF|protein,Files in cyp/dog_203,,
dog,LOC119875773,A0A8I3RSN1,A0A8I3RSN1_CANLF|protein,Files in cyp/dog_204,,
dog,LOC119875773,A0A8I3RSN4,A0A8I3RSN4_CANLF|protein,Files in cyp/dog_205,,
dog,LOC119875773,A0A8I3RSP1,A0A8I3RSP1_CANLF|protein,Files in cyp/dog_206,,
dog,CYP39A1,A0A8I3RX90,A0A8I3RX90_CANLF|protein,Files in cyp/dog_207,,
dog,LOC119863926,A0A8I3RZ52,A0A8I3RZ52_CANLF|protein,Files in cyp/dog_208,,
dog,CYP20A1,A0A8I3RZB0,A0A8I3RZB0_CANLF|protein,Files in cyp/dog_209,,
dog,CYP27A1,A0A8I3S6P6,A0A8I3S6P6_CANLF|protein,Files in cyp/dog_210,,
dog,CYP27A1,A0A8I3SBF3,A0A8I3SBF3_CANLF|protein,Files in cyp/dog_211,,
dog,CYP4X1,A0A8P0N6X0,A0A8P0N6X0_CANLF|protein,Files in cyp/dog_212,,
dog,CYP4A38,A0A8P0N6Y4,A0A8P0N6Y4_CANLF|protein,Files in cyp/dog_213,,
dog,CYP4A38,A0A8P0N704,A0A8P0N704_CANLF|protein,Files in cyp/dog_214,,
dog,CYP2A13,A0A8P0N7R7,A0A8P0N7R7_CANLF|protein,Files in cyp/dog_215,,
dog,CYP2C18,A0A8P0NAD2,A0A8P0NAD2_CANLF|protein,Files in cyp/dog_216,,
dog,CYP24A1,A0A8P0NE13,A0A8P0NE13_CANLF|protein,Files in cyp/dog_217,,
dog,CYP2J2,A0A8P0NJZ6,A0A8P0NJZ6_CANLF|protein,Files in cyp/dog_218,,
dog,CYP26B1,A0A8P0NUR9,A0A8P0NUR9_CANLF|protein,Files in cyp/dog_219,,
dog,CYP4A38,A0A8P0P3T7,A0A8P0P3T7_CANLF|protein,Files in cyp/dog_220,,
dog,CYP24A1,A0A8P0P3W5,A0A8P0P3W5_CANLF|protein,Files in cyp/dog_221,,
dog,CYP4A38,A0A8P0P722,A0A8P0P722_CANLF|protein,Files in cyp/dog_222,,
dog,CYP4A38,A0A8P0PE88,A0A8P0PE88_CANLF|protein,Files in cyp/dog_223,,
dog,LOC489851,A0A8P0PEN0,A0A8P0PEN0_CANLF|protein,Files in cyp/dog_224,,
dog,CYP27C1,A0A8P0PHK1,A0A8P0PHK1_CANLF|protein,Files in cyp/dog_225,,
dog,CYP27C1,A0A8P0PJ13,A0A8P0PJ13_CANLF|protein,Files in cyp/dog_226,,
dog,CYP20A1,A0A8P0PSC1,A0A8P0PSC1_CANLF|protein,Files in cyp/dog_227,,
dog,CYP27C1,A0A8P0SA12,A0A8P0SA12_CANLF|protein,Files in cyp/dog_228,,
dog,CYP2A7,A0A8P0SAM9,A0A8P0SAM9_CANLF|protein,Files in cyp/dog_229,,
dog,CYP2S1,A0A8P0SAR6,A0A8P0SAR6_CANLF|protein,Files in cyp/dog_230,,
dog,CYP20A1,A0A8P0SHU9,A0A8P0SHU9_CANLF|protein,Files in cyp/dog_231,,
dog,LOC489851,A0A8P0SJE7,A0A8P0SJE7_CANLF|protein,Files in cyp/dog_232,,
dog,CYP4X1,A0A8P0SYF9,A0A8P0SYF9_CANLF|protein,Files in cyp/dog_233,,
dog,CYP3A26,A0A8P0T288,A0A8P0T288_CANLF|protein,Files in cyp/dog_234,,
dog,LOC489851,A0A8P0T458,A0A8P0T458_CANLF|protein,Files in cyp/dog_235,,
dog,CYP4A38,A0A8P0TBY4,A0A8P0TBY4_CANLF|protein,Files in cyp/dog_236,,
dog,CYP4A38,A0A8P0TCU3,A0A8P0TCU3_CANLF|protein,Files in cyp/dog_237,,
dog,CYP2A13,A0A8P0TCW4,A0A8P0TCW4_CANLF|protein,Files in cyp/dog_238,,
dog,CYP4A38,A0A8P0THN3,A0A8P0THN3_CANLF|protein,Files in cyp/dog_239,,
dog,CYP2D15,A0A8P0TKG8,A0A8P0TKG8_CANLF|protein,Files in cyp/dog_240,,
dog,CYP2C18,A0A8P0TNH5,A0A8P0TNH5_CANLF|protein,Files in cyp/dog_241,,
dog,CYP4A39,Q2VHZ7,Q2VHZ7_CANLF|protein,Files in cyp/dog_242,,
dog,CYP4A38,Q2VHZ8,Q2VHZ8_CANLF|protein,Files in cyp/dog_243,,
dog,CYP4A37,Q2VHZ9,Q2VHZ9_CANLF|protein,Files in cyp/dog_244,,
dog,CYP3A12,X5KCT9,X5KCT9_CANLF|protein,Files in cyp/dog_245,,
dog,CYP2B11,X5KJB3,X5KJB3_CANLF|protein,Files in cyp/dog_246,,
dog,Cytochrome-P450-2D15,X5KJD2,X5KJD2_CANLF|protein,Files in cyp/dog_247,,
dog,Cytochrome-P450-2D15,X5KJD8,X5KJD8_CANLF|protein,Files in cyp/dog_248,,
dog,CYP2D15,X5KNW5,X5KNW5_CANLF|protein,Files in cyp/dog_249,,
dog,Cytochrome-P450-2D15,X5L1N0,X5L1N0_CANLF|protein,Files in cyp/dog_250,,
dog,CYP2B11,X5L555,X5L555_CANLF|protein,Files in cyp/dog_251,,
dog,Cytochrome-P450-2D15,X5L571,X5L571_CANLF|protein,Files in cyp/dog_252,,
dog,Cytochrome-P450-2D15,X5L576,X5L576_CANLF|protein,Files in cyp/dog_253,,
dog,CYP4A11,A0A8C0NZ20,A0A8C0NZ20_CANLF|protein,Files in cyp/dog_254,,
dog,CYP4A11,A0A8C0P289,A0A8C0P289_CANLF|protein,Files in cyp/dog_255,,
dog,CYP2J2,A0A8I3N2T6,A0A8I3N2T6_CANLF|protein,Files in cyp/dog_256,,
dog,CYP20A1,A0A8I3NX01,A0A8I3NX01_CANLF|protein,Files in cyp/dog_257,,
dog,CYP24A1,A0A8I3Q096,A0A8I3Q096_CANLF|protein,Files in cyp/dog_258,,
mouse,Cyp4a12b,A2A974,CP4CB_MOUSE|protein,Files in cyp/mouse_0,,
mouse,Cyp26c1,B2RXA7,CP26C_MOUSE|protein,Files in cyp/mouse_1,,
mouse,Cyp1a2,B6VGH4,B6VGH4_MOUSE|protein,Files in cyp/mouse_2,,
mouse,Cyp2c23,E9Q5K4,CP2CN_MOUSE|protein,Files in cyp/mouse_3,,
mouse,Cyp4a14,O35728,CP4AE_MOUSE|protein,Files in cyp/mouse_4,,
mouse,Cyp26a1,O55127,CP26A_MOUSE|protein,Files in cyp/mouse_5,,
mouse,Cyp4a10,O88833,CP4AA_MOUSE|protein,Files in cyp/mouse_6,,
mouse,Cyp1a1,P00184,CP1A1_MOUSE|protein,Files in cyp/mouse_7,,
mouse,Cyp1a2,P00186,CP1A2_MOUSE|protein,Files in cyp/mouse_8,,
mouse,Cyp2b10,P12791,CP2BA_MOUSE|protein,Files in cyp/mouse_9,,
mouse,Cyp11b2,P15539,C11B2_MOUSE|protein,Files in cyp/mouse_10,,
